replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2654,3987,0.01,0,0,0,0
2654,4018,0.01,0,0,0,0
2654,4049,0.01,0,0,0,0
2654,4077,0.01,0,0,0,0
2654,4108,0.01,0,0,0,0
2654,4138,0.01,0,0,0,0
2654,4169,0.01,0,0,0,0
2654,4199,0.01,0,0,0,0
2654,4230,0.01,0,0,0,0
2654,4261,0.01,0,0,0,0
2654,4291,0.01,0,0,0,0
2654,4322,0.01,0,0,0,0
2654,4352,0.01,0,0,0,0
2654,4383,0.01,0,0,0,0
2654,4414,0.01,0,0,0,0
2654,4442,0.01,0,0,0,0
2654,4473,0.01,0,0,0,0
2654,4503,0.01,0,0,0,0
2654,4534,0.01,0,0,0,0
2654,4564,0.01,0,0,0,0
2654,4595,0.01,0,0,0,0
2654,4626,0.01,0,0,0,0
2654,4656,0.01,0,0,0,0
2654,4687,0.01,0,0,0,0
2654,4717,0.01,0,0,0,0
2654,4748,0.01,0,0,0,0
2654,4779,0.01,0,0,0,0
2654,4807,0.01,0,0,0,0
2654,4838,0.01,0,0,0,0
2654,4868,0.01,0,0,0,0
2654,4899,0.01,0,0,0,0
2654,4929,0.01,0,0,0,0
2654,4960,0.01,0,0,0,0
2654,4991,0.01,0,0,0,0
2654,5021,0.01,0,0,0,0
2654,5052,0.01,0,0,0,0
2654,5082,0.01,0,0,0,0
2654,5113,0.01,0,0,0,0
2654,5144,0.01,0,0,0,0
2654,5173,0.01,0,0,0,0
2654,5204,0.01,0,0,0,0
2654,5234,0.01,0,0,0,0
2654,5265,0.01,0,0,0,0
2654,5295,0.01,0,0,0,0
2654,5326,0.01,0,0,0,0
2654,5357,0.01,0,0,0,0
2654,5387,0.01,0,0,0,0
2654,5418,0.01,0,0,0,0
2654,5448,0.01,0,0,0,0
2654,5479,0.01,0,0,0,0
2654,5510,0.01,0,0,0,0
2654,5538,0.01,0,0,0,0
2654,5569,0.01,0,0,0,0
2654,5599,0.01,0,0,0,0
2654,5630,0.01,0,0,0,0
2654,5660,0.01,0,0,0,0
2654,5691,0.01,0,0,0,0
2654,5722,0.01,0,0,0,0
2654,5752,0.01,0,0,0,0
2654,5783,0.01,0,0,0,0
2654,5813,0.01,0,0,0,0
2654,5844,0.01,0,0,0,0
2654,5875,0.01,0,0,0,0
2654,5903,0.01,0,0,0,0
2654,5934,0.01,0,0,0,0
2654,5964,0.01,0,0,0,0
2654,5995,0.01,0,0,0,0
2654,6025,0.01,0,0,0,0
2654,6056,0.01,0,0,0,0
2654,6087,0.01,0,0,0,0
2654,6117,0.01,0,0,0,0
2654,6148,0.01,0,0,0,0
2654,6178,0.01,0,0,0,0
2654,6209,0.01,0,0,0,0
2654,6240,0.01,0,0,0,0
2654,6268,0.01,0,0,0,0
2654,6299,0.01,0,0,0,0
2654,6329,0.01,0,0,0,0
2654,6360,0.01,0,0,0,0
2654,6390,0.01,0,0,0,0
2654,6421,0.01,0,0,0,0
2654,6452,0.01,0,0,0,0
2654,6482,0.01,0,0,0,0
2654,6513,0.01,0,0,0,0
2654,6543,0.01,0,0,0,0
2654,6574,0.01,0,0,0,0
2654,6605,0.01,0,0,0,0
2654,6634,0.01,0,0,0,0
2654,6665,0.01,0,0,0,0
2654,6695,0.01,0,0,0,0
2654,6726,0.01,0,0,0,0
2654,6756,0.01,0,0,0,0
2654,6787,0.01,0,0,0,0
2654,6818,0.01,0,0,0,0
2654,6848,0.01,0,0,0,0
2654,6879,0.01,0,0,0,0
2654,6909,0.01,0,0,0,0
2654,6940,0.01,0,0,0,0
2654,6971,0.01,0,0,0,0
2654,6999,0.01,0,0,0,0
2654,7030,0.01,0,0,0,0
2654,7060,0.01,0,0,0,0
2654,7091,0.01,0,0,0,0
2654,7121,0.01,0,0,0,0
2654,7152,0.01,0,0,0,0
2654,7183,0.01,0,0,0,0
2654,7213,0.01,0,0,0,0
2654,7244,0.01,0,0,0,0
2654,7274,0.01,0,0,0,0
2654,7305,0.01,0,0,0,0
2654,7336,0.01,0,0,0,0
2654,7364,0.01,0,0,0,0
2654,7395,0.01,0,0,0,0
2654,7425,0.01,0,0,0,0
2654,7456,0.01,0,0,0,0
2654,7486,0.01,0,0,0,0
2654,7517,0.01,0,0,0,0
2654,7548,0.01,0,0,0,0
2654,7578,0.01,0,0,0,0
2654,7609,0.01,0,0,0,0
2654,7639,0.01,0,0,0,0
2654,7670,0.01,0,0,0,0
2654,7701,0.01,0,0,0,0
2654,7729,0.01,0,0,0,0
2654,7760,0.01,0,0,0,0
2654,7790,0.01,0,0,0,0
2654,7821,0.01,0,0,0,0
2654,7851,0.01,0,0,0,0
2654,7882,0.01,0,0,0,0
2654,7913,0.01,0,0,0,0
2654,7943,0.01,0,0,0,0
2654,7974,0.01,0,0,0,0
2654,8004,0.01,0,0,0,0
2654,8035,0.01,0,0,0,0
2654,8066,0.01,0,0,0,0
2656,3987,0.02,0,0,0,0
2656,4018,0.02,0,0,0,0
2656,4049,0.02,0,0,0,0
2656,4077,0.02,0,0,0,0
2656,4108,0.02,0,0,0,0
2656,4138,0.02,0,0,0,0
2656,4169,0.02,0,0,0,0
2656,4199,0.02,0,0,0,0
2656,4230,0.02,0,0,0,0
2656,4261,0.02,0,0,0,0
2656,4291,0.02,0,0,0,0
2656,4322,0.02,0,0,0,0
2656,4352,0.02,0,0,0,0
2656,4383,0.02,0,0,0,0
2656,4414,0.02,0,0,0,0
2656,4442,0.02,0,0,0,0
2656,4473,0.02,0,0,0,0
2656,4503,0.02,0,0,0,0
2656,4534,0.02,0,0,0,0
2656,4564,0.02,0,0,0,0
2656,4595,0.02,0,0,0,0
2656,4626,0.02,0,0,0,0
2656,4656,0.02,0,0,0,0
2656,4687,0.02,0,0,0,0
2656,4717,0.02,0,0,0,0
2656,4748,0.02,0,0,0,0
2656,4779,0.02,0,0,0,0
2656,4807,0.02,0,0,0,0
2656,4838,0.02,0,0,0,0
2656,4868,0.02,0,0,0,0
