replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2454,3987,0.01,0.417765,4.27165,4.25478,4.01415
2454,4018,0.01,0.417765,4.67189,4.56776,4.03292
2454,4049,0.01,0.400778,3.84236,3.66015,3.41139
2454,4077,0.01,0.400778,3.07665,2.94136,2.93529
2454,4108,0.01,0.400778,2.70995,2.80691,2.57282
2454,4138,0.01,0.400778,2.52927,2.53482,2.26255
2454,4169,0.01,0.400778,2.38649,2.38574,1.97088
2454,4199,0.01,0.400778,1.94521,1.81955,1.67471
2454,4230,0.01,0.400778,1.60428,1.56328,1.48786
2454,4261,0.01,0.400778,1.85631,1.75009,1.77986
2454,4291,0.01,0.400778,2.43139,2.20984,2.3268
2454,4322,0.01,0.400778,3.56314,3.26413,3.10279
2454,4352,0.01,0.400778,4.18783,4.22157,3.82467
2454,4383,0.01,0.400778,4.366,4.28491,3.89696
2454,4414,0.01,0.361262,3.98474,3.83656,3.32339
2454,4442,0.01,0.361262,3.39224,3.34705,2.8904
2454,4473,0.01,0.361262,2.99422,2.91183,2.56598
2454,4503,0.01,0.361262,2.4858,2.45937,2.25312
2454,4534,0.01,0.361262,2.14558,2.1662,1.94973
2454,4564,0.01,0.361262,1.95923,1.94446,1.76945
2454,4595,0.01,0.361262,1.82443,1.76551,1.68708
2454,4626,0.01,0.361262,2.12635,2.01681,2.05271
2454,4656,0.01,0.361262,3.08691,2.88276,2.73986
2454,4687,0.01,0.361262,4.2309,3.89384,3.65416
2454,4717,0.01,0.361262,4.93223,4.60821,4.43098
2454,4748,0.01,0.361262,4.99956,4.61835,4.49862
2454,4779,0.01,0.396224,4.34213,4.24528,3.81732
2454,4807,0.01,0.396224,3.75914,3.75651,3.27382
2454,4838,0.01,0.396224,3.4084,3.39908,2.90892
2454,4868,0.01,0.396224,3.04803,2.93424,2.57321
2454,4899,0.01,0.396224,2.79232,2.52325,2.18539
2454,4929,0.01,0.396224,2.36289,2.23062,1.91397
2454,4960,0.01,0.396224,2.22261,2.08874,1.83037
2454,4991,0.01,0.396224,2.48804,2.36478,2.0634
2454,5021,0.01,0.396224,2.88947,2.8042,2.63419
2454,5052,0.01,0.396224,3.63684,3.53616,3.43494
2454,5082,0.01,0.396224,4.3911,4.09483,4.00411
2454,5113,0.01,0.396224,4.49076,4.26593,4.01231
2454,5144,0.01,0.404017,3.88443,3.73671,3.47234
2454,5173,0.01,0.404017,3.43445,3.39764,2.95946
2454,5204,0.01,0.404017,2.9499,2.8496,2.65033
2454,5234,0.01,0.404017,2.51155,2.32073,2.24752
2454,5265,0.01,0.404017,2.23035,2.15549,1.97635
2454,5295,0.01,0.404017,1.93262,1.90978,1.70538
2454,5326,0.01,0.404017,1.82434,1.94591,1.64363
2454,5357,0.01,0.404017,2.14335,2.1391,1.86725
2454,5387,0.01,0.404017,2.68649,2.73504,2.40576
2454,5418,0.01,0.404017,3.63005,3.40161,3.098
2454,5448,0.01,0.404017,4.2118,3.98246,3.63186
2454,5479,0.01,0.404017,4.38551,4.01729,3.74214
2454,5510,0.01,0.368691,3.79451,3.67852,3.20547
2454,5538,0.01,0.368691,3.17694,3.10683,2.77288
2454,5569,0.01,0.368691,2.65044,2.60707,2.42611
2454,5599,0.01,0.368691,2.17429,2.04712,2.07286
2454,5630,0.01,0.368691,1.82538,1.6823,1.73405
2454,5660,0.01,0.368691,1.78587,1.64113,1.55085
2454,5691,0.01,0.368691,1.6531,1.62277,1.49375
2454,5722,0.01,0.368691,1.95323,1.86294,1.78114
2454,5752,0.01,0.368691,2.64287,2.4707,2.34768
2454,5783,0.01,0.368691,3.52981,3.26409,3.15936
2454,5813,0.01,0.368691,4.28082,4.11348,3.83399
